en,fr,de,es,ja,it,he
Alligator,Alligator,Alligator,Caimán,アリゲーター,Alligatore,תַנִין
Alpaca,Alpaga,Alpaka,Alpaca,アルパカ,Alpaca,אלפקה
Anaconda,Anaconda,Anakonda,Anaconda,アナコンダ,Anaconda,אנקונדה
Ant,Fourmi,Ameise,Hormiga,蟻,Formica,נְמָלָה
Anteater,Fourmilier,Ameisenbär,Oso hormiguero,アリタン,Formulazione,אוֹכֵל נֶמַלִים
Antelope,Antilope,Antilope,Antílope,アンテロープ,Antilope,אַנְטִילוֹפָּה
Aphid,Puceron,Blattlaus,Áfido,アブラムシ,Afide,כְּנִימָה
Armadillo,Tatou,Gürteltier,Armadillo,アルマジロ,Armadillo,אַרמָדִיל
Asp,Aspic,ASP,Áspid,ASP,Asp,אֶפעֶה
Ass,Cul,Arsch,Culo,お尻,Culo,תַחַת
Baboon,Babouin,Pavian,Babuino,ヒヒ,Babbuino,בַּבּוּן
Badger,Blaireau,Dachs,Tejón,狸,Tasso,גִירִית
Bald Eagle,Pygargue à tête blanche,Weißkopfseeadler,Águila calva,白頭ワシ,Aquila calva,נשר קירח
Barracuda,Barracuda,Barrakuda,Barracuda,バラクーダ,Barracuda,ברקודה
Bass,Basse,Bass,Bajo,ベース,Basso,בַּס
Bat,Chauve souris,Schläger,Murciélago,コウモリ,Pipistrello,עטלף
Bearded Dragon,Dragon barbu,Bärtiger Drache,Dragon barbudo,フトアゴヒゲトカゲ,Drago barbuto,דרקון מזוקן
Beaver,Castor,Biber,Castor,ビーバー,Castoro,בונה
Bedbug,Punaise de lit,Bettwanze,Ácaro,ナンキンムシ,Cimice,פִּשׁפֵּשׁ
Bee,Abeille,Biene,Abeja,蜂,Ape,דבורה
Bee-eater,Mangeur d'abeilles,Bienenesser,Comedor de abejas,蜂を食べる,Eap-api,אוכל דבורים
Bird,Oiseau,Vogel,Pájaro,鳥,Uccello,ציפור
Bison,Bison,Bison,Bisonte,バイソン,Bisonte,בִּיזוֹן
Black panther,Panthère noire,Schwarzer Panther,Pantera negra,クロヒョウ,Pantera nera,פנתר שחור
Black Widow Spider,Araignée veuve Noire,Schwarze Witwe,Araña viuda negro,ブラックウィドウスパイダー,Vedova nera,אלמנה שחורה
Blue Jay,Jay bleu,Blue Jay,Arrendajo azul,アオカケス,Blue Jay,עורבני כחול
Blue Whale,Baleine bleue,Blauwal,Ballena azul,シロナガスクジラ,Balena Blu,לווייתן כחול
Bobcat,Lynx,Bobcat,Gato montés,ボブキャット,Bobcat,חֲתוּל הַבָּר
Buffalo,Buffle,Büffel,Búfalo,バッファロー,Buffalo,תְאוֹ
Butterfly,Papillon,Schmetterling,Mariposa,蝶,Farfalla,פַּרְפַּר
Buzzard,Buse,Bussard,Zopilote,バザード,Poiana,באזארד
Camel,chameau,Kamel,Camello,キャメル,Cammello,גָמָל
Canada Lynx,Canada Lynx,Kanada Luchs,Canadá Lynx,カナダリンクス,Lynx Canada,קנדה לינקס
Carp,Carpe,Karpfen,Carpa,鯉,Carpa,קַרפִּיוֹן
Cat,Chat,Katze,Gato,猫,Gatto,חתול
Caterpillar,chenille,Raupe,Oruga,キャタピラー,bruco,זַחַל
Catfish,Poisson-chat,Wels,Bagre,ナマズ,Pesce gatto,שפמנון
Cheetah,guépard,Gepard,Guepardo,チーター,Ghepardo,בַּרדְלָס
Chicken,Poulet,Huhn,Pollo,チキン,Pollo,עוף
Chimpanzee,Chimpanzé,Schimpanse,Chimpancé,チンパンジー,Scimpanzé,שִׁימפַּנזָה
Chipmunk,Tamia,Chipmunk,Ardiente,シマリス,Scoiattolo,צ'יפמונק
Cobra,Cobra,Kobra,Cobra,コブラ,Cobra,קוֹבּרָה
Cod,la morue,Kabeljau,Bacalao,タラ,Merluzzo,בַּקָלָה
Condor,Condor,Kondor,Cóndor,コンドル,Condor,קונדור
Cougar,Puma,Puma,Puma,クーガー,Puma,פומה
Cow,Vache,Kuh,Vaca,牛,Mucca,פָּרָה
Coyote,Coyote,Kojote,Coyote,コヨーテ,Coyote,זְאֵב עֲרָבוֹת
