en,fr,de,es,ja,it,he
apple,pomme,Apfel,manzana,りんご,mela,תפוח עץ
avocado,avocat,Avocado,palta,アボカド,avocado,אבוקדו
banana,banane,Banane,banana,バナナ,banana,בננה
cherry,cerise,Kirsche,cereza,チェリー,ciliegia,דובדבן
coconut,noix de coco,Kokosnuss,Coco,ココナッツ,noce di cocco,קוקוס
cranberry,canneberge,Preiselbeere,arándano,クランベリー,mirtillo,חמוצית
grape,raisin,Traube,uva,葡萄,uva,עַנָב
grapefruit,pamplemousse,Grapefruit,pomelo,グレープフルーツ,pompelmo,אשכוליות
Kiwi,kiwi,Kiwi,kiwi,キウイ,kiwi,קיווי
lemon,citron,Zitrone,limón,レモン,limone,לימון
lime,citron vert,Kalk,cal,ライム,lime,ליים
mango,mangue,Mango,mango,マンゴー,Mango,מנגו
melon,melon,Melone,melón,メロン,melone,מֵלוֹן
orange,orange,orange,naranja,オレンジ,arancia,תפוז
Pear,Poire,Birne,Pera,梨,Pera,אגס
Peach,Pêche,Pfirsich,Durazno,桃,Pesca,אפרסק
pineapple,ananas,Ananas,piña,パイナップル,ananas,אננס
plum,prune,Pflaume,ciruela,梅,prugna,שזיף
strawberry,fraise,Erdbeere,fresa,いちご,fragola,תּוּת
watermelon,pastèque,Wassermelone,sandía,スイカ,anguria,אבטיח
broccoli,brocoli,Brokkoli,brócoli,ブロッコリー,broccoli,ברוקולי
cabbage,chou,Kohl,repollo,キャベツ,cavolo,כרוב
carrot,carotte,Karotte,zanahoria,にんじん,carota,גזר
celery,céleri,Sellerie,apio,セロリ,sedano,סלרי
corn,maïs,Mais,maíz,トウモロコシ,mais,תירס
cucumber,concombre,Gurke,pepino,キュウリ,cetriolo,מלפפון
eggplant,aubergine,Aubergine,berenjena,ナス,melanzana,חציל
mushroom,champignon,Pilz,champiñón,キノコ,fungo,פטרייה
lettuce,laitue,Kopfsalat,lechuga,レタス,lattuga,חסה
onion,oignon,Zwiebel,cebolla,タマネギ,cipolla,בצל
pea,pois,Erbse,guisante,エンドウ,pisello,אֲפוּנָה
pepper,poivre,Pfeffer,pimienta,コショウ,pepe,פלפל
pickle,cornichon,Essiggurke,pepinillo,ピクルス,salamoia,מלפפון חמוץ
potato,pomme de terre,Kartoffel,papa,じゃがいも,Patata,תפוח אדמה
pumpkin,citrouille,Kürbis,calabaza,かぼちゃ,zucca,דלעת
radish,un radis,Rettich,rábano,だいこん,ravanello,צְנוֹן
spinach,épinard,Spinat,espinaca,ほうれん草,spinaci,תרד
sweet potato,patate douce,Süßkartoffel,batata,スイートポテト,patata dolce,בטטה
tomato,tomate,Tomate,tomate,トマト,pomodoro,עגבנייה
turnip,navet,Rübe,nabo,カブ,rapa,לפת
anchovy,anchois,Anschovis,anchoa,アンチョビ,acciuga,אנשובי
clams,palourdes,Muscheln,almejas,二枚貝,molluschi,צדפות
cod,la morue,Kabeljau,bacalao,タラ,merluzzo,בַּקָלָה
crab,crabe,Krabbe,cangrejo,カニ,granchio,סרטן
cuttlefish,seiche,Tintenfisch,calamar,イカ,seppia,דְיוֹנוֹן
eel,anguille,Aal,Anguila,うなぎ,anguilla,צְלוֹפָּח
fish,poisson,Fisch,pez,魚,pescare,דג
lobster,homard,Hummer,langosta,ロブスター,aragosta,לובסטר
mussels,moules,Miesmuscheln,mejillones,ムール貝,cozze,מולים
octopus,pieuvre,Oktopus,pulpo,タコ,polpo,תמנון
oysters,Huîtres,Austern,ostras,カキ,Ostriche,צדפות
salmon,saumon,Lachs,salmón,鮭,salmone,סלמון
sardines,sardines,Sardinen,sardinas,イワシ,sardine,סרדינים
sea cucumber,concombre de mer,Seegurke,pepino de mar,ナマコ,cetriolo di mare,מלפפון ים
scallops,coquilles saint-jacques,Jakobsmuscheln,vieiras,ホタテ,scaloppine,צדפות סקלופ
seaweed,algue,Seetang,algas marinas,海藻,alga marina,אַצָה
shrimp,crevette,Garnele,camarón,エビ,gamberetto,שרימפ
squid,calmar,Tintenfisch,calamar,イカ,calamaro,דיונון
sushi,Sushi,Sushi,Sushi,寿司,Sushi,סושי
tuna,thon,Thunfisch,atún,マグロ,tonno,טונה
bacon,lard,Speck,tocino,ベーコン,Bacon,בייקון
beef,bœuf,Rindfleisch,carne de res,牛肉,manzo,בשר בקר
chicken,poulet,Huhn,pollo,チキン,pollo,עוף
ham,jambon,Schinken,jamón,ハム,prosciutto,חזיר
hot dog,Hot-dog,Hotdog,Hot dog,ホットドッグ,hot dog,נקניקיה
meatballs,Boulettes de viande,Fleischklößchen,albóndigas,ミートボール,Polpette,קציצות בשר
ribs,côtes,Rippen,costillas,リブ,costolette,צלעות
sausage,saucisse,Wurst,embutido,ソーセージ,salsiccia,נקניק
steak,steak,Steak,bife,ステーキ,bistecca,סטייק
veal,veau,Kalbfleisch,ternera,子牛の肉,vitello,עגל
almonds,amandes,Mandeln,Almendras,アーモンド,mandorle,שקדים
Brazil Nuts,Noix du Brésil,Paranuss,Nueces de Brasil,ブラジルナッツ,Noci brasiliane,אגוזי ברזיל
cashews,noix de cajou,Cashewkerne,anacardos,カシューナッツ,anacardi,קשיו
chestnuts,châtaignes,Kastanien,castañas,栗,castagne,עַרמוֹנִים
hazelnuts,noisettes,Haselnüsse,avellanas,ヘーゼルナッツ,Nocciole,אגוזי לוז
macadamia Nuts,noix de macadamia,Macadamianüsse,Nueces de macadamia,マカダミアナッツ,Noci di macadamia,אגוזי מקדמיה
peanuts,cacahuètes,Erdnüsse,miseria,ピーナッツ,arachidi,בוטנים
pecans,noix de pécan,Pecannüsse,nueces pecanas,ピーカン,Noci Pecan,פקאנים
pistachios,pistaches,Pistazien,pistachos,ピスタチオ,pistacchi,פיסטוקים
walnuts,noix,Walnüsse,nueces,クルミ,Noci,אֱגוזי מלך
bread,pain,brot,pan,パン,pane,לחם
cereal,céréale,Getreide,cereal,穀物,cereale,דגני בוקר
crackers,craquelins,Cracker,galletas,クラッカー,cracker,קרקרים
lazagne,Lazagne,Lazagne,lazagne,ラザニュ,lasagne,לזגנה
macaroni,macaroni,Makkaroni,macarrones,マカロニ,maccheroni,מקרוני
noodles,nouilles,Nudeln,fideos,麺,tagliatelle,נודלס
Oatmeal,Gruau,Haferflocken,Avena,オートミール,Fiocchi d'avena,קְוֵקֶר
pasta,Pâtes,Pasta,pasta,パスタ,pasta,פסטה
rice,riz,Reis,arroz,米,riso,אורז
spaghetti,spaghetti,Spaghetti,espaguetis,スパゲッティ,spaghetti,ספגטי
butter,beurre,Butter,manteca,バター,burro,חמאה
Cheddar Cheese,Fromage cheddar,Cheddar-Käse,Queso cheddar,チェダーチーズ,Formaggio cheddar,גבינת צ'דר
cheese,fromage,Käse,queso,チーズ,formaggio,גבינה
cottage cheese,fromage blanc,Hüttenkäse,requesón,カッテージチーズ,fiocchi di latte,גבינת קוטג
cream,crème,Creme,crema,クリーム,crema,קרם
cream cheese,Fromage Frais,Frischkäse,queso crema,クリームチーズ,crema di formaggio,גבינת שמנת
ice cream,glace,Eiscreme,helado,アイスクリーム,gelato,גלידה
milk,lait,Milch,leche,牛乳,latte,חלב
sour cream,Crème fraîche,Sauerrahm,cCrea agria,サワークリーム,panna acida,שמנת חמוצה
yogurt,yaourt,Joghurt,yogur,ヨーグルト,Yogurt,יוגורט
