en,fr,de,es,ja,it,he
the,le,Die,el,,IL,ה
be,être,Sei,ser,なれ,Essere,לִהיוֹת
to,à,Zu,a,に,A,ל
of,de,von,de,の,Di,שֶׁל
and,et,Und,y,そして,E,וכן
a,un,A,a,a,UN,א
in,dans,In,en,で,In,ב
that,que,Das,eso,それ,Quello,זֶה
have,avoir,haben,tener,持っている,Avere,יש
I,je,ICH,I,私,IO,אני
it,il,Es,él,それ,Esso,זה
for,pour,für,para,のために,per,ל
not,pas,nicht,no,ない,non,לֹא
on,sur,An,en,の上,SU,עַל
with,avec,mit,con,と,con,עם
he,il,Er,él,彼,Lui,הוא
as,comme,als,como,として,COME,כפי ש
you,toi,Du,tú,あなた,Voi,אתה
do,faire,Tun,hacer,する,Fare,לַעֲשׂוֹת
at,à,bei,en,で,A,בְּ-
this,ce,Das,este,これ,Questo,זֶה
but,mais,Aber,pero,しかし,Ma,אבל
his,son,sein,su,彼の,il suo,שֶׁלוֹ
by,par,von,por,による,di,על ידי
from they,De eux,von ihnen,de ellos,彼らから,da loro,מהם
we,nous,Wir,nosotros,私たちは,Noi,אָנוּ
say,dire,sagen,decir,言う,Dire,אמר
her,son,ihr,su,彼女,suo,שֶׁלָה
she,elle,sie,ella,彼女,Lei,היא
or,ou,oder,o,または,O,אוֹ
an,un,ein,un,an,UN,AN
will,volonté,Wille,voluntad,意思,Volere,רָצוֹן
my,mon,Mein,mi,私の,Mio,שֶׁלִי
one,un,eins,uno,1つ,uno,אחד
all,tous,alle,todo,全て,Tutto,את כל
would,serait,würde,haría,します,volevo,היה
there,là,Dort,allá,そこには,Là,שם
their,leur,ihre,su,彼らの,loro,שֶׁלָהֶם
what,quoi,Was,qué,何,Che cosa,מה
so,donc,Also,entonces,それで,COSÌ,כך
up,en haut,hoch,arriba,上,su,לְמַעלָה
out,dehors,aus,afuera,外,fuori,הַחוּצָה
if,si,Wenn,si,もし,Se,אם
about,à propos,um,acerca de,について,Di,על אודות
who,OMS,WHO,OMS,誰が,Chi,מי
get,obtenir,erhalten,conseguir,得る,Ottenere,לקבל
which,lequel,welche,cual,どれの,Quale,איזה
go,aller,gehen,ir,行く,andare,ללכת
me when,moi quand,ich wenn,yo cuando,私はいつ,Io quando,אני כש
make,faire,machen,hacer,作る,Fare,עשה
can,peut,dürfen,poder,できる,Potere,פחית
like,comme,wie,como,のように,Piace,כמו
time,temps,Zeit,tiempo,時間,tempo,זְמַן
no,Non,NEIN,No,いいえ,NO,לא
just,juste,Nur,justo,ただ,Appena,רַק
him,lui,ihn,a él,彼,lui,אוֹתוֹ
know,savoir,wissen,saber,知る,Sapere,לָדַעַת
take,prendre,nehmen,llevar,取る,Prendere,לקחת
people,personnes,Menschen,gente,人々,persone,אֲנָשִׁים
into,dans,hinein,en,の中へ,in,לְתוֹך
year,année,Jahr,año,年,anno,שָׁנָה
your,ton,dein,su,あなたの,tuo,שֶׁלְךָ
good,bien,Gut,bien,良い,Bene,טוֹב
some,quelques,manche,alguno,いくつかの,Alcuni,כמה
could,pourrait,könnte,podría,できた,Potevo,הָיָה יָכוֹל
them,eux,ihnen,a ellos,彼ら,loro,אוֹתָם
see,voir,sehen,ver,見る,Vedere,לִרְאוֹת
other,autre,andere,otro,他の,altro,אַחֵר
than,que,als,que,よりも,di,מאשר
then,alors,Dann,entonces,それから,Poi,לאחר מכן
now,maintenant,Jetzt,ahora,今,Ora,עַכשָׁיו
look,regarder,sehen,mirar,見て,Aspetto,תראה
only come,Viens seulement,Nur kommen,Solo ven,来るだけです,Vieni solo,רק בוא
its,c'est,es ist,es,その,suo,שֶׁלָה
over,sur,über,encima,以上,Sopra,על
think,pense,denken,pensar,考える,pensare,לַחשׁוֹב
also,aussi,Auch,también,また,Anche,גַם
back,dos,zurück,atrás,戻る,Indietro,חזור
after,après,nach,después,後,Dopo,לאחר
use,utiliser,verwenden,usar,使用,utilizzo,להשתמש
two,deux,zwei,dos,二,due,שתיים
how,comment,Wie,cómo,どうやって,Come,אֵיך
our,notre,unser,nuestro,私たちの,Nostro,שֶׁלָנוּ
work,travail,arbeiten,trabajar,仕事,lavoro,עֲבוֹדָה
first,d'abord,Erste,primero,初め,Primo,ראשון
well,Bien,Also,Bueno,良い,BENE,נו
way,chemin,Weg,forma,方法,modo,דֶרֶך
even,même,sogar,incluso,平,Anche,אֲפִילוּ
new,nouveau,neu,nuevo,新しい,nuovo,חָדָשׁ
want,vouloir,wollen,desear,欲しい,Volere,רוצה
because,parce que,Weil,porque,なぜなら,Perché,כי
any,n'importe lequel,beliebig,cualquier,どれでも,Qualunque,כל
these,ces,diese,estos,これら,questi,אלה
give,donner,geben,dar,与える,Dare,לָתֵת
day,jour,Tag,día,日,giorno,יְוֹם
most,la plupart,am meisten,mayoría,ほとんど,maggior parte,רוב
us,nous,uns,a nosotros,私たち,noi,לָנוּ
be,être,Sei,ser,なれ,Essere,לִהיוֹת
have,avoir,haben,tener,持っている,Avere,יש
do,faire,Tun,hacer,する,Fare,לַעֲשׂוֹת
say,dire,sagen,decir,言う,Dire,אמר
go,aller,gehen,ir,行く,andare,ללכת
