en,fr,de,es,ja,it,he
a,un,A,a,a,UN,א
ability,capacité,Fähigkeit,capacidad,能力,capacità,יְכוֹלֶת
able,capable,fähig,capaz,できる,capace,יכול
about,à propos,um,acerca de,について,Di,על אודות
above,au-dessus de,über,arriba,その上,Sopra,מֵעַל
accept,accepter,akzeptieren,aceptar,受け入れる,accettare,לְקַבֵּל
according,selon,nach,de acuerdo a,によると,secondo,לפי
account,compte,Konto,cuenta,アカウント,account,חֶשְׁבּוֹן
across,à travers,über,al otro lado de,横切って,attraverso,ברחבי
act,acte,Akt,acto,活動,atto,פעולה
action,action,Aktion,acción,アクション,azione,פעולה
activity,activité,Aktivität,actividad,活動,attività,פעילות
actually,en fait,Genau genommen,de hecho,実は,In realtà,בעצם
add,ajouter,hinzufügen,agregar,追加,aggiungere,לְהוֹסִיף
address,adresse,Adresse,DIRECCIÓN,住所,indirizzo,כתובת
administration,administration,Verwaltung,administración,管理,amministrazione,מִנהָל
admit,admettre,zugeben,admitir,認める,ammettere,להתוודות
adult,adulte,Erwachsene,adulto,アダルト,adulto,מְבוּגָר
affect,affecter,beeinflussen,afectar,影響する,simulare,להשפיע
after,après,nach,después,後,Dopo,לאחר
again,encore,wieder,de nuevo,また,Ancora,שוב
against,contre,gegen,contra,に対して,contro,מול
age,âge,Alter,edad,年,età,גיל
agency,agence,Agentur,agencia,代理店,agenzia,סוֹכְנוּת
agent,agent,Agent,agente,エージェント,agente,סוֹכֵן
ago,il y a,vor,atrás,前,fa,לִפנֵי
agree,accepter,zustimmen,aceptar,同意する,Essere d'accordo,לְהַסכִּים
agreement,accord,Vereinbarung,acuerdo,合意,accordo,הֶסכֵּם
ahead,devant,voraus,adelante,先に,avanti,קָדִימָה
air,air,Luft,aire,空気,aria,אוויר
all,tous,alle,todo,全て,Tutto,את כל
allow,permettre,erlauben,permitir,許可する,permettere,להתיר
almost,presque,fast,casi,ほとんど,Quasi,כִּמעַט
alone,seul,allein,solo,一人で,solo,לבד
along,le long de,entlang,a lo largo de,平行,lungo,לְאוֹרֶך
already,déjà,bereits,ya,すでに,Già,כְּבָר
also,aussi,Auch,también,また,Anche,גַם
although,bien que,Obwohl,a pesar de,それでも,Sebbene,למרות ש
always,toujours,stets,siempre,いつも,Sempre,תמיד
American,Américain,amerikanisch,Americano,アメリカン,americano,אֲמֶרִיקָאִי
among,parmi,unter,entre,の間で,tra,בין
amount,montant,Menge,cantidad,額,quantità,כמות
analysis,analyse,Analyse,análisis,分析,analisi,אָנָלִיזָה
and,et,Und,y,そして,E,וכן
animal,animal,Tier,animal,動物,animale,בעל חיים
another,un autre,ein anderer,otro,別の,un altro,אַחֵר
answer,répondre,Antwort,respuesta,答え,risposta,תשובה
any,n'importe lequel,beliebig,cualquier,どれでも,Qualunque,כל
anyone,n'importe qui,irgendjemand,alguien,誰でも,chiunque,כֹּל אֶחָד
anything,rien,irgendetwas,cualquier cosa,何でも,nulla,כל דבר
appear,apparaître,erscheinen,aparecer,現れる,apparire,לְהוֹפִיעַ
apply,appliquer,anwenden,aplicar,適用する,fare domanda a,להגיש מועמדות
approach,approche,Ansatz,acercarse,アプローチ,approccio,גִישָׁה
area,zone,Bereich,área,エリア,la zona,אֵזוֹר
argue,argumenter,argumentieren,argumentar,主張する,litigare,לִטעוֹן
arm,bras,Arm,brazo,腕,braccio,זְרוֹעַ
